阿尔河	aar(n.);
无底洞	abysm(n.);
浑沌	abysm(n.);
深海	abyssal(adj.);
洋槐	acacia(n.);
刺槐	acacia(n.);
学院	academic(adj.)|college(n.)|faculty(n.)|institute(n.)|institution(n.)|seminary(n.);
学术	academical(adj.)|ics;
学术上	academically(adv.)|technically(adv.);
学理上	academically(adv.);
理论上	academically(adv.)|theoretically(adv.);
院士	academician(n.)|fellow(n.);
学院派	academism(n.);
研究院	academy(n.);
学会	academy(n.)|ac\nadv(n.)|institute(n.)|lyceum(n.);
学校	academy(n.)|cubicle(n.)|school(n.)|schools(n.)|seminary(n.);
水母	acaleph(n.)|aurelia(n.)|[动]jellyfish(n.);
有刺	acanth(pref.)|aciculate(adj.)|aculeate(adj.)|barbed(adj.)|spinose(adj.)|spinosity(n.);
刺状	acanth(pref.)|acanthoid(adj.)|spinous(adj.);
脊椎	acantha(n.)|chine(n.)|rachis(n.)|vertebral(adj.);
刺	acantha(n.)|[生]acicula(n.)|aculeus(n.)|jab(vt.)|lunge(n.)|[剑术]pass(n.)|poke(n.)|poke(v.)|prick(v.)|prickle(n.)|prod(v.)|prong(v.)|splinter(n.)|stab(n.)|stab(v.)|stabbed(v.)|stick(n.)|sticker(n.)|sting(n.)|sting(v.)|thorn(n.)|thrust(n.)|thrust(v.);
鳍	acantha(n.)|fin(n.);
鱼翅	acantha(n.);
棘状	acanthoid(adj.);
爵床	[植]acanthus(n.);
莨苕	[植]acanthus(n.);
疥癣	acariasis(n.)|[医]itch(n.);
疥虫病	acariasis(n.);
杀虫剂	acaricide(n.)|anabasin(n.)|insecticide(n.)|pesticide(n.)|rodenticide(n.);
壁蝨	acarid(n.);
恙虫	acarid(n.);
无茎	[植]acaulescent(adj.);
依从	accede(vi.);
继承	accede(vi.)|heir(n.)|inherit(vt.)|inheritance(n.)|succeed(v.)|successive(adj.);
同意	accede(vi.)|agree(v.)|agreeable(adj.)|agreeably(adv.)|agreement(n.)|assent(n.)|assentation(n.)|assentient(adj.)|comply(vi.)|consent(vi.)|consent(n.)|endorse(vt.)|endorsement(n.)|okay(n.)|okay(vt.)|rapport(n.)|unanimity(n.);
就任	accede(vi.)|accession(n.)|installation(n.);
参与	accede(vi.)|meddle(vi.)|participate(vi.)|share(n.);
渐速音	[乐]accelerando(n.);
渐速	[乐]accelerando(adj.);
催化剂	accelerant(n.)|[化]catalyst(n.);
触媒	accelerant(n.)|[化]catalyst(n.);
加速	accelerate(vt.)|accelerative(adj.)|acceleratory(adj.)|speed(v.);
促进	accelerate(vt.)|acceleration(n.)|advancement(n.)|encourage(n.)|encourage(vt.)|furtherance(n.)|progress(v.)|promote(v.);
早熟	accelerated(adj.)|early(adj.)|precocious(adj.)|precocity(n.)|premature(adj.)|prematurity(n.);
加速度	acceleration(n.);
催促	accelerative(adj.)|acceleratory(adj.)|call(v.)|hasten(vt.)|hie(v.)|hurry(v.)|urged(v.);
加速器	accelerator(n.);
加速剂	accelerator(n.);
加速表	accelerometer(n.);
重音	accent(n.)|stress(n.);
口音	accent(n.);
强调	accent(vt.)|accentuation(v.)|emphasis|emphasize(vt.)|insistence(n.)|stress(n.);
山鹨	accentor(n.);
强音	accentual(adj.);
重读	accentuate(v.)|accentuation(v.)|reread(v.);
着重者	accentuator(n.);
强调者	accentuator(n.);
接受	accept(vt.)|acceptability(n.)|acceptance(n.)|embrace(vt.)|receive(v.)|receiving(n.)|reception(n.);
认可	accept(vt.)|accredit(vt.)|adhibit(v.)|admissive(adj.)|authorize(vt.)|endorse(vt.)|fiat(n.)|ratification(n.)|ratify(v.)|recognise(v.)|recognize(v.);
容纳	acceptance(n.)|accommodate(vt.)|contain(vt.)|hold(n.);
承诺	acceptance(n.)|agreement(n.)|commitment(n.)|consent(n.)|promises(n.);
认付	acceptance(n.);
承认	acceptation(n.)|acknowledge(vt.)|agree(v.)|allow(v.)|avowal(n.)|concede(v.)|confess(v.)|confession(n.)|own(v.)|ratification(n.)|recognise(v.)|recognition(n.)|recognize(v.);
通义	acceptation(n.);
接受人	accepter(n.);
承诺人	accepter(n.);
承兑人	accepter(n.);
接近	access(n.)|accession(n.)|adjacence(n.)|anear(v.)|approximate(v.)|approximation(n.)|close(vt.)|close(adj.)|near(adj.)|near(v.)|nearly(adv.)|oncoming(n.)|propinquity(n.)|proximity(n.)|vicinal(adj.)|vicinity(n.);
接纳	access(n.)|admission(n.);
同谋	accessary(n.)|accessary(adj.)|accessorial(adj.)|accessory(adj.)|complicity(n.);
附属	accessary(n.)|accessary(adj.)|accessoirily(adv.)|accessory(adj.)|ancillary(adj.)|appertain(v.)|appurtenant(adj.)|attaching(adj.)|subordinate(adj.);
补助	accessary(n.)|accessary(adj.)|accessorial(adj.)|accessory(adj.)|adjutant(adj.)|[文]auxiliary(adj.)|subsidiary(adj.)|tributary(adj.);
易接近	accessibility(n.)|approachability(n.);
可亲	accessibility(n.)|amiability(n.);
增加	accession(n.)|addition(n.)|augmentative(adj.)|enhance(vt.)|increase(n.)|increase(v.)|increasing(adj.)|increasingly(adv.)|increment(n.)|multiply(v.)|plus(pre.)|raises(n.)|rise(n.);
参加	accession(n.)|ancylo(pref.)|attend(v.)|join(v.)|participant(adj.)|participate(vi.)|participation(n.)|play(v.);
附加	accessional(adj.)|added(adj.)|additional(adj.)|additory(adj.)|[文]adjunct(adj.)|adjunction(n.)|adjunctive(adj.)|adscititious(adj.)|affixation(n.)|attached(v.);
另外	accessional(adj.)|additional(adj.)|additionally(adv.);
附从	accessoirily(adv.);
副神经	accessorius(n.);
零件	accessory(n.)|[俗]gadget(n.);
从犯	accessory(n.);
附属品	accessory(n.)|attachment(n.);
饰音	acciaccature(n.);
偶然	accidental(adj.)|accidentalism(n.)|accidentally(adv.)|adventitious(adj.)|casual(adj.)|casually(adv.)|chance(n.)|contingence(n.)|fortuitous(adj.)|fortuity(n.)|[古]hap(n.)|[古]haply(adv.)|happen(vi.)|occasionally(adv.)|perchance(adv.)|promiscuous(adv.);
意外	accidental(adj.)|accidentally(adv.)|casualty(n.)|chance(adj.)|fortuitous(adj.)|suddenly(adv.);
无意	accidentalism(n.)|involuntary(adj.);
懒惰	accidie(n.)|acedia(n.)|idle(adj.)|idly(adv.)|inaction(n.)|inactivity(n.)|indolence(n.)|indolent(adj.)|lazy(adj.)|sloth(n.)|slothful(adj.)|sluggish(adj.);
忧郁	accidie(n.)|acedia(n.)|adust(adj.)|blue(adj.)|gloom(n.)|[俗]hip(n.)|melancholy(n.)|melancholy(adj.)|pensive(adj.)|pensively(adv.)|pensiveness(n.);
绝望	accidie(n.)|acedia(n.)|despair(n.)|despairing(adj.)|despairingly(adv.)|forlorn(adj.);
鹰	accipiter(n.)|eagle(n.)|falcon(n.)|hawk(n.);
鹰的	accipitral(adj.)|aquiline(adj.);
喝采	acclaim(n.)|acclaim(v.)|[法]eclat(n.);
欢呼	acclaim(n.)|acclaim(v.)|acclamation(n.)|acclamatory(adj.)|applaud(v.)|enthusiasm(n.)|hail(n.)|hail(v.);
赞同	acclaim(n.)|sympathy(n.);
称赞	acclaim(v.)|acclamatory(adj.)|admire(vt.)|eulogize(vt.)|laud(n.)|praise(n.)|praise(v.);
喝釆	acclamation(n.)|acclamatory(adj.)|applaud(v.)|applause(n.)|cheer(n.)|cheer(vt.);
赞成	acclamation(n.)|affirmative(n.)|approval(n.)|approve(v.)|assentient(adj.)|concurrence(n.)|consent(vi.)|favorable(adj.)|subscribe(v.)|uphold(v.);
使适应	acclimatize(vt.)|orientate(vt.)|reorient(v.)|reorientate(v.);
倾斜	acclivitous(adj.)|bevel(adj.)|clinal|declination(n.)|declivity(n.)|declivous(adj.)|[美]grade(n.)|inclination(n.)|lean(v.)|slant(n.)|slant(adj.)|slant(v.)|slope(n.)|tilt(n.)|tilt(v.)|tilting(v.)|tip(v.)|tipsily(adv.)|tipsiness(n.)|tipsy(adj.);
斜坡	acclivity(n.)|brae(n.)|dip(n.)|ramp(n.)|slope(n.);
上坡	acclivity(n.)|uphill(adj.)|uphill(adv.)|uprise(n.);
援与	accolade(n.)|endue(vt.);
赞赏	accolade(n.)|commend(vt.);
适应	accommodate(vt.)|accommodation(n.)|adaptation(n.)|adaptive(adj.)|adjust(vt.);
和善	accommodating(adj.)|mildly(adv.);
顺从	accommodating(adj.)|acquiescence(n.)|acquiescent(adj.)|acquiescently(adv.)|amenability(n.)|amenably(adv.)|biddable(adj.)|conformable(adj.)|deferment(n.)|resign(v.)|resigned(v.)|submissive(adj.)|supple(adj.);
膳宿	accommodation(n.)|boarding(n.);
调节	accommodation(n.)|regulate(v.)|regulative(adj.)|tune(v.);
随和	accommodative(adj.);
亲切	accommodative(adj.)|affectionate(adj.)|amicable(adj.)|amicably(adj.)|benignancy(n.)|benignantly(adv.)|benignly(adv.)|caressing(adj.)|caressingly(adv.)|complaisance(n.)|complaisant(adj.)|genially(adv.)|obliging(adj.)|pleasant(adj.)|tender(adj.)|tenderness(n.)|warmly(adv.);
适应者	accommodator(n.);
调解者	accommodator(n.)|peacemaker(n.);
同伴	accompanier(n.)|fellow(adj.)|yokefellow(n.);
伴唱者	accompanier(n.);
伴随物	accompaniment(n.)|concomitant(n.);
附属物	accompaniment(n.)|adjunct(n.)|ancilla(n.)|appendage(n.)|[法]appurtenance(n.)|subordinate(n.)|tag(n.)|tailpiece(n.);
伴唱奏	accompaniment(n.);
随伴者	accompanist;
伴奏者	accompanist;
陪伴	accompanying(adj.);
附随	accompanying(adj.)|by(adj.);
帮凶	accomplice(n.);
完成	accomplish(vt.)|achieve(vt.)|achievement(n.)|complete(vt.)|completion(n.)|consummate(vt.)|crown(vt.)|finished(adj.)|fulfil(vt.)|fulfillment(n.)|integration(n.)|perfection(n.)|perfective(adj.)|ripeness(n.);
达到	accomplish(vt.)|attained(v.);
成就	accomplishment(n.)|achievement(n.)|attainment(n.)|completion(n.)|consummation(n.)|crown(vt.)|fruition(n.)|success(n.);
才能	accomplishment(n.)|aptness(n.)|faculty(n.)|gumption(n.)|quality(n.)|talent(n.);
贯彻	accomplishment(n.);
修养	accomplishment(n.);
一致	accord(v.)|accordance(n.)|accordant(adj.)|agree(v.)|agreeable(adj.)|agreeably(adv.)|coincide(v.)|coincidence(n.)|concert(n.)|concord(n.)|concordance(n.)|concordant(adj.)|concur(v.)|concurrent(adj.)|congruence(n.)|consistency(n.)|consistent(adj.)|harmonization(n.)|keeping(n.)|rapport(n.)|tally(n.)|unification(n.)|uniformity(n.)|unison(n.)|unity(n.);
调和	accord(v.)|accord(n.)|accordant(adj.)|attemper(v.)|harmonious(adj.)|harmonization(n.)|harmony(n.)|proportional(adj.)|proportionment(n.)|reconciliation(n.)|reconciliatory(adj.)|regularity(n.)|symmetry(n.)|symphonious(adj.)|tone(v.)|unison(n.);
给与	accord(vt.)|allow(v.)|bestow(vt.)|confer(vt.)|[俗]deal(n.)|give(n.)|impart(vt.);
使调和	accord(vt.)|harmonize(v.);
和解	accord(n.)|compose(v.)|composition(n.)|compound(v.)|compromise(n.)|placate(v.)|propitiate(v.)|rapprochement(n.)|reconcile(v.)|reconciliation(n.)|reconciliatory(adj.);
意向	accord(n.)|purpose(n.)|will(n.);
谐和音	[乐]accord(n.);
给予	accordance(n.)|administration(n.);
相合	accordant(adj.);
基调	[乐]accordatura(n.);
依照	according(adv.)|accordingly(adv.)|by(pre.)|pursuant(adv.);
依据	according(adv.)|accordingly(adv.)|on(adv.)|pursuant(adj.);
按	according(adv.)|pressing(v.);
於是	accordingly(adv.)|thereupon(adv.)|therewith(adv.)|whereupon(conj.);
相应	accordingly(adv.)|answering(adj.);
手风琴	accordion(n.);
折摺	accordion(adj.);
搭讪	accost(vt.);
招呼	accost(vt.)|hail(n.)|hail(v.)|salutation(n.);
勾引	accost(vt.);
接生	accouche(v.);
分娩	accouchement(v.)|childbirth(n.);
生产	accouchement(v.)|childbearing(n.)|fer|fic|generative(adj.)|gerous|procreation(n.)|procreative(adj.)|produce(v.)|production(n.)|produer(v.)|throughput(n.)|yean(v.)|yielding(adj.);
计算	account(n.)|calculate(v.)|calculation(n.)|calculative(adj.)|cast|cipher(v.)|computation(n.)|compute(v.)|count(v.)|count(n.)|counting(n.)|enumeration(n.)|reckon(v.)|reckoning(n.);
会计	account(n.)|treasurer(n.);
报生	account(n.);
解释	account(n.)|account(v.)|construe(v.)|explain(v.)|explanatory(adj.)|explicate(vt.)|explicative(adj.)|exposition(n.)|interpret(vt.)|interpretation(n.)|rede(n.)|rendition(n.)|unravel(v.);
原因	account(n.)|causalative(adj.)|cause(n.)|occasion(n.);
重要性	account(n.)|consequence(n.)|import(pl.)|significance(n.)|stature(n.)|value(n.)|weightiness(n.);
说明	account(v.)|caption(n.)|elucidate(vt.)|explain(v.)|explanation(n.)|explanatory(adj.)|explicate(vt.)|explicative(adj.)|exposition(n.)|illustrate(vt.)|illustration(n.)|illustrative(adj.)|specify(v.);
认为	account(v.)|call(v.)|count(v.)|deem(v.)|hold(n.)|judge(v.)|rate(v.)|repute(v.)|thought(v.);
责任	accountability(n.)|incumbent(adj.)|liability(n.)|obligation(n.)|[拉]onus(n.)|part(pl.)|responsibility(n.);
有义务	accountability(n.);
会计员	accountant(n.);
会计学	accounting(n.);
穿	accouter(vt.)|prick(v.)|worn(v.);
装备	accouter(vt.)|appliance(n.)|arming(n.)|equip(vt.)|equipage(n.)|equipment(n.)|furnish(v.)|outfit(n.)|outfit(vt.)|rig(n.)|rigging(n.)|setup(n.);
穿着	accouterment(n.)|clad(adj.)|wear(n.)|wear(v.)|wore(v.);
配备	accouterment(n.)|arm(v.)|equipment(n.);
阿克拉	accra(n.);
信任	accredit(vt.)|belief(n.)|confidence(n.)|credence(n.)|[簿]credit(vt.)|depend(vi.)|reliance(n.)|rely(v.)|trustful(adj.);
鉴定	accreditation(n.)|opinion(n.);
任命	accreditation(n.)|appoint(v.)|appointment(n.)|constitute(vt.)|install(vt.)|institute(vt.)|[宗]ordain(vt.)|place(v.);
添加	accrescence(n.)|additivity(n.)|adjunction(n.);
成长	accrescence(n.)|accrescent(adj.)|develop(v.)|pullulate(v.);
加大	accrescence(n.)|accrescent(adj.)|aggrandizement(n.);
生长	accrete(v.)|grow(v.)|growth(n.)|upgrowth(n.);
合生	accrete(v.)|connate(adj.);
使附着	accrete(v.);
增加物	accretion(n.)|additament(n.);
黏着物	accretion(n.);
夺取	accroach(v.)|conquer(vt.)|seizing(v.)|seizure(n.)|snatch(v.)|wrest(v.);
侵占	accroach(v.)|encroach(vi.)|[法]misappropriate(vt.)|[法]misappropriation(n.);
获利	accrual(n.)|profit(v.);
收益	accrual(n.)|gainings(n.)|income(n.);
利息	accrual(n.);
产生	accrue(vi.)|bechance(v.)|create(vt.)|engender(vt.)|ferous|gency|generate(vt.)|generation(n.)|procreate(v.)|produce(v.)|producing(v.)|result(v.)|resulting(adj.)|resulting(v.)|stem(v.);
发生	accrue(vi.)|arisen(v.)|arises(v.)|bechance(v.)|betide(v.)|enact(vt.)|germination(n.)|happen(vi.)|occur(vi.)|occurrence(n.);
增殖	accrue(vi.)|multiply(v.)|proliferate(v.)|proliferation(n.)|propagation(n.);
横卧	accumbent(adj.);
凭着	accumbent(adj.);
依伏	accumbent(adj.);
积	accumulate(v.);
储蓄	accumulate(v.)|stockpile(n.)|stockpile(v.);
累积	accumulate(v.)|accumulation(n.)|amass(v.)|cumulate(adj.)|cumulation(n.)|pile(v.);
堆积	accumulation(n.)|aheap(adj.)|amass(v.)|heap(n.)|heap(vt.)|lodgment(n.)|stack(v.);
累积者	accumulator(n.);
储蓄家	accumulator(n.);
储电池	accumulator(n.);
正确	accuracy(n.)|accurate(adj.)|accurately(adv.)|aright(adv.)|correct(adj.)|correctly(adv.)|exact(adj.)|exactitude(n.)|exactly(adv.)|just(adj.)|nicety(n.)|particularity(n.)|precisely(adv.)|preciseness(n.)|right(adj.)|right(adv.)|rightly(adv.)|true(adj.);
准确	accuracy(n.)|accurate(adj.);
精密	accuracy(n.)|accurate(adj.)|accurately(adv.)|exact(adj.)|nicety(n.)|precision(n.)|rigid(adj.);
被咒	accursed(adj.)|accurst(adj.);
指控	accusal(adj.);
谴责	accusal(adj.)|accuse(vt.)|animadversion(n.)|blamed(v.)|cansure(v.)|censure(n.)|condemn(vt.)|condemnation(n.)|decry(vt.)|rebuke(n.)|reprehend(v.)|reprimand(n.)|reprimand(v.)|reproof(n.)|stigmatize(v.)|twit(n.)|upbraid(v.)|upbraiding(n.);
指控者	accusant(adj.);
指责者	accusant(adj.);
责备	accusation(n.)|blame(n.)|cansure(n.)|cansure(v.)|charge(vt.)|reproach(n.)|reproach(v.)|reprove(v.)|wigging(n.);
控告	accusation(n.)|accusatory(adj.)|accuse(vt.)|delate(vt.)|incriminate(vt.)|inculpate(vt.);
告发	accusation(n.);
问罪	accusatory(adj.);
归咎	accuse(vt.)|accusing(adj.)|imputation(n.)|impute(vt.)|reflect(v.);
被告	accused(n.)|appellantee(n.)|appellee(n.)|[法]defendant(n.)|defense(n.)|respondent(n.);
控告人	accuser(n.);
原告	accuser(n.)|petitionery(n.)|plaintiff(n.);
怪罪	accusing(adj.)|accusingly(adv.);
么点	ace(n.);
能手	ace(n.)|[美]crackajack(n.)|[俗]dab(n.);
王牌	ace(n.)|trump(n.);
血田	aceldama(n.);
无头	acephalous(adj.);
酸涩	acerb(adj.);
刻薄	acerb(adj.)|acerbity(n.)|acrid(adj.)|acridity(n.)|poignancy(n.);
发怒	acerbate(adj.)|angry(adj.)|blaze(v.)|fire(v.)|fume(v.)|irate(adj.)|snit(n.)|tantrum(n.);
酸的	acerbic(adj.)|acetic(adj.)|acetose(adj.)|acetous(adj.)|sour(adj.)|tart(adj.)|verjuiced(adj.)|vinegary(adj.);
涩的	acerbic(adj.);
尖刻	acerbic(adj.)|acid(adj.)|acrimonious(adj.)|acrimoniously(adv.)|bitingly(adv.)|trenchant(adj.);
酸味	acerbity(n.)|acid(adj.)|acidity(n.)|sourness(n.);
苦涩	acerbity(n.)|bitterly(adv.)|saline(adj.);
针状	acerose(adj.)|acicular(adj.)|aciform(adj.)|spiculate(adj.);
无角	acerous(adj.)|hornless(adj.);
群生	acervate(adj.);
止痛	acesodyne(n.)|acesodyne(adj.)|analgesic(adj.)|anodyne(adj.)|antalgic(adj.);
止痛药	acesodyne(n.)|analgesic(n.);
肉芽块	acestoma(n.);
碟状	acetabuliform(adj.);
髀臼	[解]acetabulum(n.);
吸盘	[动]acetabulum(n.)|holdfast(n.);
乙酸醛	[化]acetal(n.);
乙醛	[化]acetaldehyde(n.)|aldehyde(n.);
醋醛	[化]acetaldehyde(n.);
乙醯胺	acetamide(n.);
醋酸盐	[化]acetate(n.);
醋的	acetic(adj.)|acetous(adj.);
醋化	aceticity(v.)|acetify(v.);
发酸	aceticity(v.)|acidification(n.)|acidify(vt.);
变酸	acetify(v.)|sour(v.);
醋菌属	acetobacter(n.);
醋酸计	acetometer(n.);
丙酮	[化]acetone(n.);
乙醯基	acetyl(n.);
醋酸基	acetyl(n.);
醋胆素	acetylcholine(n.);
乙炔	[化]acetylene(n.);
电石气	[化]acetylene(n.);
凶猛	acharnement(n.)|ferocious(adj.)|ferocity(n.)|severe(adj.);
痛	ache(n.)|algia|[俗]hurt(n.)|pain(n.)|pain(v.)|rankle(v.);
疼痛	ache(n.)|aching(adj.)|atingle(adj.)|sorely(adv.)|stitch(n.);
渴望	ache(n.)|anxious(adj.)|aspiration(n.)|aspire(v.)|athirst(adj.)|[雅]crave(v.)|die(vi.)|[俗]dying(adj.)|eager(adj.)|eagerness(n.)|[喻]hunger(n.)|hungry(adj.)|[医]itch(n.)|[医]itch(v.)|languish(vi.)|longing(n.)|longing(adj.)|[植]pine(v.)|raring(adj.)|thirst(n.)|thirst(v.)|thirsty(adj.)|wishful(adj.)|wistful(adj.)|wistfully(adv.)|wistfulness(n.)|yearn(v.)|yearning(adj.);
憧憬	ache(n.);
河神	achelous(n.);
瘦果	[植]achene(n.)|[植]akene(n.);
[希神	acheron(n.);
获得	achieve(vt.)|acquest(n.)|acquire(vt.)|acquisition(n.)|attained(v.)|derive(v.)|gain(v.)|haul(n.)|obtain(vt.)|obtrude(adj.)|procuration(n.)|procure(v.)|procurement(n.)|purchasing(v.)|reap(v.)|secure(v.)|securing(v.)|winning(n.);
勇敢	achillean(adj.)|brave(adj.)|bravely(adv.)|braveness(n.)|braver(adj.)|bravery(n.)|bravest(adj.)|courageous(adj.)|courageously(adv.)|courageousness(n.)|daring(adj.)|[美]gritty(adj.)|highheart(adj.)|manful(adj.)|manly(adj.)|masculine(adj.)|prowess(n.)|valiant(adj.)|valiantly(adv.)|valorous(adj.);
阿钦族	achinese(n.);
痛的	aching(adj.)|algetic(adj.)|painful(adj.);
心痛	aching(adj.);
胭脂子	achiote(n.);
胭脂树	achiote(n.);
无胆尿	[医]acholuria(n.);
无色	achromatic(adj.)|achromaticity(n.)|achromatous(adj.);
无色彩	achromatization(n.);
消色差	achromatization(n.);
使无色	achromatize(n.);
灭色	achromatize(n.);
去色	achromatize(n.);
拒染性	achromatophilia(n.);
色盲	achromatopsia(n.)|daltonism(n.);
淡色	achromatous(adj.)|tinge(n.);
无色菌	achromobacter(n.);
铂霉素	achromycin(n.);
针	[生]acicula(n.)|needle(n.)|pin(n.)|pricker(n.);
尖酸	acid(adj.);
酸	[化]acid(n.)|tartness(n.);
酸血症	[医]acidemia(n.);
酸化	acidification(n.)|acidify(vt.)|acidulate(v.)|burlesque(vt.);
成酸性	acidification(n.);
成酸剂	acidifier(n.);
酸性度	acidity(n.);
嗜酸	acidophilic(adj.)|acidophilus(adj.);
酸中毒	acidosis(n.);
耐酸	acidproof(adj.)|aciduric(adj.);
使成钢	acierate(vt.);
多子	[植]acinaceous(adj.);
小核果	acinus(n.);
葡萄核	acinus(n.);
…性	acity|ar|atic|ose;
富於…	acity;
上午	ackemma(n.)|antemeridian(adj.)|antemeridiem(adj.)|forenoon(n.);
感谢	acknowledge(vt.)|appreciate(v.)|benedictory(adj.)|gratitude(n.)|[美俚]orchid(pl.)|thank(n.)|thankful(adj.)|thankfully(adv.)|thankfulness(n.)|thanksgiving(n.);
公证	acknowledge(vt.);
公认	acknowledged(adj.)|admitted(adj.)|admittedly(adv.)|authorized(adj.);
顶点	acme(n.)|apical(adj.)|apogee(n.)|climax(n.)|crown(n.)|culmination(n.)|height(n.)|[诗]noon(n.)|noontide(n.)|peak(n.)|roof(n.)|vertex(n.)|zenith(n.);
极点	acme(n.)|consummation(n.)|culmination(n.)|extremity(n.)|full(n.)|top(n.);
痤疮	acne(n.);
粉刺	acne(n.)|whelk(n.);
孤点	[数]acnode(n.);
听幻觉	acoasm(n.);
幻觉	acoasm(n.)|hallucination(n.);
寒冷	acold(adj.)|chill(adj.)|chilliness(n.)|cold(n.)|inclement(adj.)|wintry(adj.);
沙弥	acolyte(n.);
侍僧	acolyte(n.);
助手	acolyte(n.)|adjunct(n.)|adjutant(n.)|aide(n.)|assistant(n.)|coadjutor(n.)|helper(n.);
新手	acolyte(n.)|tenderfoot(n.)|tyro(n.);
附子	[植]aconite(n.)|[植]aconitic(adj.);
乌头	[植]aconite(n.)|[植]aconitic(adj.);
乌头硷	aconitine(n.);
榭子	acorn(n.);
橡子	acorn(n.);
测听计	acoumeter(n.)|audiometer(n.);
听力计	acoumeter(n.)|sonometer(n.);
测听术	acoumetry(n.)|audiometry(n.);
打诊	[医]acouophonia(n.);
听觉	acoustic(adj.)|audition(n.)|auditive(adj.)|auditory(adj.)|aural(adj.)|hearing(n.);
助听	acoustic(adj.);
原声	acoustic(adj.);
听觉上	acoustically(adv.);
声学上	acoustically(adv.);
助听器	acousticon(n.)|audiphone(n.);
声学	acoustics(n.);
测音计	acoustimeter(n.);
声音	acousto(pref.)|audio(adj.)|noise(n.)|sound(n.)|throaty(adj.)|vocal(adj.)|vocality(n.)|voice(n.);
声波	acousto(pref.);
检响计	acoustometer(n.);
声光	acoustooptic(adj.);
使熟悉	acquaint(vt.)|orientate(vt.);
告知	acquaint(vt.)|annunciate(v.)|signalled(v.);
子解	acquaint(vt.);
相识	acquaintance(n.)|acquaintanceship(n.);
熟人	acquaintance(n.);
习知	acquaintance(n.);
熟悉	acquaintance(n.)|conversant(adj.)|familiar(adj.)|wellinformed(adj.);
认识	acquaintanceship(n.)|cognition(n.)|cognizance(n.)|knowledge(n.)|recognizant(adj.);
相熟	acquaintanceship(n.);
取得	acquest(n.)|acquirement(n.)|have(vt.)|procure(v.)|taking(n.);
默认	acquiesce(vi.)|acquiescent(adj.)|acquiescently(adv.)|pretermission(n.)|sufferance(n.)|tolerant(adj.)|tolerate(v.)|toleration(n.);
默许	acquiescence(n.)|connivance(n.)|connive(vi.)|sufferance(n.);
可得	acquirability(n.)|acquirable(adj.);
可获	acquirability(n.)|acquirable(adj.);
学得	acquire(vt.)|acquisition(n.);
习得	acquirement(n.);
学识	acquirement(n.)|attainment(pl.);
技艺	acquirement(n.)|feat(n.);
所获	acquisition(n.);
开释	acquit(vt.)|exonerate(vt.);
免罪	acquit(vt.)|exoneration(n.)|exonerative(adj.)|remission(n.);
偿债	acquit(vt.)|acquitment(n.);
